wl,melanan(cm),epithelial cells(cm),hbo2(cm),hb(cm),collagen(cm),water(cm),lipid(cm)
700,214,2.489689744,290,1794.28,0.053893525,0.006566667,0.32 
701,212.5,2.492109572,292,1767.64,0.053730351,0.006733333,0.32 
702,211,2.494529401,294,1741,0.053567178,0.0069,0.32 
703,210,2.492260743,296,1714.38,0.053404004,0.007141667,0.32 
704,209,2.487808132,298,1687.76,0.053240831,0.007383333,0.33 
705,208,2.483355521,300.4,1661.12,0.053077657,0.007625,0.32 
706,207,2.47890291,302.8,1634.48,0.052914484,0.007866667,0.32 
707,206,2.474450299,305.6,1609,0.05275131,0.008108333,0.31 
708,205,2.469997688,308.4,1583.52,0.052588137,0.00835,0.31 
709,204,2.465545076,311.2,1562,0.052424963,0.008591667,0.31 
710,203,2.461092465,314,1540.48,0.05226179,0.008833333,0.32 
711,202,2.456639854,316.8,1518.94,0.052098616,0.009075,0.32 
712,201,2.452187243,319.6,1497.4,0.051935396,0.009316667,0.32 
713,200,2.447734632,322.4,1475.88,0.051768526,0.009558333,0.32 
714,199,2.443282021,325.2,1454.36,0.051601657,0.0098,0.32 
715,198,2.43882941,328.6,1432.84,0.051434787,0.010127273,0.33 
716,197,2.434376799,332,1411.32,0.051267917,0.010454545,0.33 
717,196,2.429924188,336,1389.8,0.051101048,0.010781818,0.34 
718,195,2.425471577,340,1368.28,0.050934178,0.011109091,0.35 
719,194.5,2.421018966,344,1347.08,0.050767309,0.011436364,0.36 
720,194,2.416566355,348,1325.88,0.050600439,0.011763636,0.37 
721,193,2.412113744,352,1305.52,0.050433569,0.012090909,0.38 
722,192,2.407351703,356,1285.16,0.0502667,0.012418182,0.38 
723,191,2.395901228,360,1264.8,0.05009983,0.012745455,0.39 
724,190,2.384450752,364,1244.44,0.04993296,0.013072727,0.40 
725,189,2.373000277,368.2,1224.06,0.049766091,0.0134,0.42 
726,188,2.361549801,372.4,1203.68,0.049599221,0.01444,0.43 
727,187,2.350099326,376.8,1178.24,0.049432351,0.01548,0.45 
728,186,2.33864885,381.2,1152.8,0.049265482,0.01652,0.46 
729,185.5,2.327198375,385.6,1127.5,0.049098612,0.01756,0.48 
730,185,2.315747899,390,1102.2,0.04896306,0.0186,0.50 
731,184,2.304297424,394.4,1102.2,0.048855156,0.01964,0.52 
732,183,2.292846948,398.8,1102.2,0.048747252,0.02068,0.54 
733,182,2.281396473,403.2,1102.2,0.048639349,0.02172,0.55 
734,181,2.269945997,407.6,1102.2,0.048531445,0.02276,0.56 
735,180,2.258495521,413.2,1101.98,0.048423541,0.0238,0.58 
736,179,2.247045046,418.8,1101.76,0.048315637,0.024136364,0.59 
737,178.5,2.23559457,425.6,1101.12,0.048207734,0.024472727,0.60 
738,178,2.224144095,432.4,1100.48,0.04809983,0.024809091,0.62 
739,177,2.212731914,439.2,1108.18,0.047991926,0.025145455,0.64 
740,176,2.202537001,446,1115.88,0.047884022,0.025481818,0.65 
741,175,2.192342088,452.8,1138.76,0.047776119,0.025818182,0.68 
742,174,2.182147175,459.6,1161.64,0.047668215,0.026154545,0.71 
743,173.5,2.171952262,466.4,1184.52,0.047560311,0.026490909,0.74 
744,173,2.161757349,473.2,1207.4,0.047452408,0.026827273,0.77 
745,172,2.151562437,480.4,1236.72,0.047344504,0.027163636,0.80 
746,171,2.141367524,487.6,1266.04,0.0472366,0.0275,0.84 
747,170.5,2.131172611,495.2,1299.64,0.047128696,0.0276,0.87 
748,170,2.120977698,502.8,1333.24,0.047020793,0.0277,0.91 
749,169,2.110782785,510.4,1369.24,0.046912889,0.0278,0.94 
750,168,2.100587872,518,1405.24,0.046804985,0.0279,0.97 
751,167,2.090392959,525.6,1460.28,0.046697081,0.028,1.00 
752,166,2.080198046,533.2,1515.32,0.046589178,0.0281,1.03 
753,165.5,2.070003133,540.8,1528.54,0.046481274,0.02795,1.06 
754,165,2.05980822,548.4,1541.76,0.04637337,0.0278,1.09 
755,164,2.049613307,555.2,1551.12,0.046265467,0.02765,1.12 
756,163,2.039418394,562,1560.48,0.046157563,0.0275,1.16 
757,162.5,2.029223481,568,1560.48,0.046049659,0.02735,1.19 
758,162,2.019028568,574,1560.48,0.045941755,0.0272,1.23 
759,161,2.008833655,580,1554.5,0.045833852,0.027009091,1.26 
760,160,1.998638743,586,1548.52,0.045725948,0.026818182,1.28 
761,159.5,1.98844383,592,1528.48,0.045618044,0.026627273,1.29 
762,159,1.978248917,598,1508.44,0.045312599,0.026436364,1.29 
763,158.5,1.968054004,604,1484,0.044987821,0.026245455,1.27 
764,158,1.957859091,610,1459.56,0.044663043,0.026054545,1.25 
765,157,1.948673052,616.4,1435.04,0.044338264,0.025863636,1.21 
766,156,1.941554084,622.8,1410.52,0.044013486,0.025672727,1.15 
767,155.5,1.934435116,629.6,1385.92,0.043688708,0.025481818,1.09 
768,155,1.927316148,636.4,1361.32,0.043363929,0.025290909,1.02 
769,154,1.920197181,643.2,1336.6,0.043039151,0.0251,0.95 
770,153,1.913078213,650,1311.88,0.042714372,0.024925,0.87 
771,152.5,1.905959245,656.8,1287.16,0.042389594,0.02475,0.79 
772,152,1.898840277,663.6,1262.44,0.042064816,0.024575,0.72 
773,151.5,1.891721309,670.4,1237.72,0.041740037,0.0244,0.65 
774,151,1.884602342,677.2,1213,0.041415259,0.024225,0.60 
775,150,1.877483374,683.2,1188.28,0.04117297,0.02405,0.55 
776,149,1.870364406,689.2,1163.56,0.041062129,0.023875,0.52 
777,148.5,1.863245438,694.4,1139.18,0.040951289,0.0237,0.48 
778,148,1.85612647,699.6,1114.8,0.040840448,0.023525,0.45 
779,147.5,1.849007502,704.8,1095.12,0.040729607,0.02335,0.43 
780,147,1.841888535,710,1075.44,0.040618766,0.023175,0.41 
781,146,1.834769567,715.2,1055.76,0.040507926,0.023,0.39 
782,145,1.827650599,720.4,1036.08,0.040397085,0.022846154,0.38 
783,144.5,1.820531631,725.6,1016.4,0.040286244,0.022692308,0.37 
784,144,1.813412663,730.8,996.72,0.040175403,0.022538462,0.36 
785,143.5,1.806293696,735.4,977.04,0.040064562,0.022384615,0.36 
786,143,1.799174728,740,957.36,0.039953722,0.022230769,0.36 
787,142,1.79205576,744,939.58,0.039842881,0.022076923,0.35 
788,141,1.784936792,748,921.8,0.03973204,0.021923077,0.35 
789,140.5,1.777817824,752,906.3,0.039621199,0.021769231,0.35 
790,140,1.770698857,756,890.8,0.039510359,0.021615385,0.35 
791,139.5,1.763579889,760,875.3,0.039399518,0.021461538,0.35 
792,139,1.756460921,764,859.8,0.039288677,0.021307692,0.35 
793,138.5,1.749486704,768,844.3,0.03918675,0.021153846,0.35 
794,138,1.742608017,772,828.8,0.039085837,0.021,0.35 
795,137.5,1.735729329,779.2,815.88,0.038984925,0.020875,0.36 
796,137,1.728850642,786.4,802.96,0.038884012,0.02075,0.37 
797,136,1.721971955,796.8,792.66,0.038783099,0.020625,0.38 
798,135,1.715093267,807.2,782.36,0.038682186,0.0205,0.39 
799,134.5,1.70821458,811.6,772.04,0.038581273,0.020375,0.39 
800,134,1.701335893,816,761.72,0.038480361,0.02025,0.40 
801,133.5,1.694457205,822,752.78,0.038379448,0.020125,0.41 
802,133,1.687578518,828,743.84,0.038278535,0.02,0.42 
803,132.5,1.680699831,832,740.46,0.038177622,0.019875,0.43 
804,132,1.673821143,836,737.08,0.038076709,0.01975,0.44 
805,131.5,1.666942456,840,733.68,0.037975797,0.019625,0.45 
806,131,1.660063769,844,730.28,0.037874884,0.0195,0.47 
807,130.5,1.653185081,850,726.9,0.037773971,0.019442857,0.48 
808,130,1.646306394,856,723.52,0.037673058,0.019385714,0.50 
809,129.5,1.639427707,860,720.3,0.037572145,0.019328571,0.51 
810,129,1.632549019,864,717.08,0.037471233,0.019271429,0.53 
811,128,1.625670332,868,714.46,0.03737032,0.019214286,0.55 
812,127,1.618791645,872,711.84,0.037269407,0.019157143,0.57 
813,126.5,1.611912957,876,709.22,0.037168494,0.0191,0.58 
814,126,1.602740037,880,706.6,0.037070473,0.019214286,0.59 
815,125.5,1.591348365,883.6,703.96,0.037048331,0.019328571,0.60 
816,125,1.579956693,887.2,701.32,0.037026188,0.019442857,0.62 
817,124.5,1.568565022,894.4,698.7,0.037004045,0.019557143,0.63 
818,124,1.55717335,901.6,696.08,0.036981903,0.019671429,0.65 
819,123.5,1.545781678,908.8,694.92,0.03695976,0.019785714,0.67 
820,123,1.534390006,916,693.76,0.036937618,0.0199,0.69 
821,122.5,1.522998335,923.2,693.68,0.036915475,0.020738462,0.71 
822,122,1.511606663,930.4,693.6,0.036893333,0.021576923,0.72 
823,121.5,1.500214991,937.6,693.54,0.03687119,0.022415385,0.74 
824,121,1.488823319,944.8,693.48,0.036849047,0.023253846,0.76 
825,120.5,1.477431648,950.6,693.4,0.036826905,0.024092308,0.78 
826,120,1.466039976,956.4,693.32,0.036804762,0.024930769,0.79 
827,119.5,1.454648304,960.8,693.26,0.03678262,0.025769231,0.80 
828,119,1.443256632,965.2,693.2,0.036760477,0.026607692,0.80 
829,118.5,1.43186496,969.6,693.12,0.036738334,0.027446154,0.80 
830,118,1.420473289,974,693.04,0.036716192,0.028284615,0.80 
831,117.5,1.409081617,978.4,692.98,0.036699118,0.029123077,0.80 
832,117,1.397689945,982.8,692.92,0.036682124,0.029961538,0.80 
833,116.5,1.386298273,987.2,692.84,0.03666513,0.0308,0.79 
834,116,1.374906602,991.6,692.76,0.036648136,0.031364286,0.79 
835,115.5,1.36351493,996.4,692.7,0.036631142,0.031928571,0.78 
836,115,1.352123258,1001.2,692.64,0.036614148,0.032492857,0.76 
837,114.5,1.340731586,1006.4,692.56,0.036597154,0.033057143,0.76 
838,114,1.329339915,1011.6,692.48,0.03658016,0.033621429,0.75 
839,113.5,1.317948243,1016.8,692.42,0.036563166,0.034185714,0.74 
840,113,1.306690239,1022,692.36,0.036546172,0.03475,0.73 
841,112.5,1.296011234,1027.2,692.28,0.036529178,0.035314286,0.72 
842,112,1.285332228,1032.4,692.2,0.036512184,0.035878571,0.70 
843,111.5,1.274653223,1037.6,692.08,0.03649519,0.036442857,0.69 
844,111,1.263974217,1042.8,691.96,0.036478196,0.037007143,0.69 
845,110.5,1.253295211,1046.4,691.86,0.036461202,0.037571429,0.68 
846,110,1.242616206,1050,691.76,0.036444208,0.038135714,0.67 
847,110,1.2319372,1052,691.64,0.036427214,0.0387,0.66 
848,110,1.221258195,1054,691.52,0.03641022,0.038973333,0.65 
849,109.5,1.210579189,1056,691.42,0.036413613,0.039246667,0.64 
850,109,1.199900184,1058,691.32,0.036434325,0.03952,0.64 
851,108.5,1.189221178,1060,691.2,0.036455037,0.039793333,0.63 
852,108,1.178542172,1062,691.08,0.036475749,0.040066667,0.63 
853,107.5,1.167863167,1064,690.98,0.036496461,0.04034,0.63 
854,107,1.157184161,1066,690.88,0.036517173,0.040613333,0.63 
855,106.5,1.146505156,1069.4,690.76,0.036537885,0.040886667,0.64 
856,106,1.13582615,1072.8,690.64,0.036558597,0.04116,0.65 
857,105.5,1.125147144,1077.6,691.54,0.036579309,0.041433333,0.66 
858,105,1.114468139,1082.4,692.44,0.036600021,0.041706667,0.66 
859,104.5,1.103789133,1087.2,693.38,0.036620733,0.04198,0.67 
860,104,1.093110128,1092,694.32,0.036641445,0.042253333,0.67 
861,103.5,1.082431122,1096.8,695.26,0.036662157,0.042526667,0.68 
862,103,1.071752117,1101.6,696.2,0.036682869,0.0428,0.69 
863,103,1.061073111,1106.4,697.12,0.036703581,0.04332,0.71 
864,103,1.050394105,1111.2,698.04,0.036778948,0.04384,0.72 
865,102.5,1.040019833,1114.8,698.98,0.036933691,0.04436,0.75 
866,102,1.030450811,1118.4,699.92,0.037088433,0.04488,0.79 
867,101.5,1.02088179,1120.8,700.86,0.037243176,0.0454,0.82 
868,101,1.011312768,1123.2,701.8,0.037397919,0.04592,0.86 
869,100.5,1.001743747,1125.6,703.82,0.037552661,0.04644,0.90 
870,100,0.992174725,1128,705.84,0.037707404,0.04696,0.94 
871,99.7,0.982605703,1130.4,707.9,0.037862147,0.04748,0.98 
872,99.4,0.973036682,1132.8,709.96,0.038016889,0.048,1.02 
873,99,0.96346766,1135.2,712.02,0.038171632,0.04852,1.07 
874,98.6,0.953898639,1137.6,714.08,0.038326374,0.04904,1.13 
875,98.2,0.944329617,1140.2,716.14,0.038481117,0.04956,1.20 
876,97.8,0.934760595,1142.8,718.2,0.038777396,0.05008,1.26 
877,97.45,0.925191574,1145.6,720.26,0.039134793,0.0506,1.35 
878,97.1,0.915622552,1148.4,722.32,0.039492191,0.05124375,1.43 
879,96.7,0.90605353,1151.2,724.38,0.039849588,0.0518875,1.53 
880,96.3,0.896484509,1154,726.44,0.040206986,0.05253125,1.64 
881,95.9,0.886915487,1156.8,728.14,0.040564383,0.053175,1.75 
882,95.5,0.87799993,1159.6,729.84,0.04092178,0.05381875,1.87 
883,95.15,0.869257987,1162.4,731.52,0.041279178,0.0544625,1.99 
884,94.8,0.860516044,1165.2,733.2,0.041636575,0.05510625,2.12 
885,94.45,0.851774101,1167.6,734.9,0.041993973,0.05575,2.26 
886,94.1,0.843032158,1170,736.6,0.04235137,0.05639375,2.41 
887,93.7,0.834290215,1172,738.28,0.042708768,0.0570375,2.58 
888,93.3,0.825548272,1174,739.96,0.043066165,0.05768125,2.75 
889,92.95,0.816806329,1176,741.78,0.04359944,0.058325,2.93 
890,92.6,0.808064386,1178,743.6,0.044318409,0.05896875,3.12 
891,92.25,0.799322443,1180,745.42,0.045037378,0.0596125,3.31 
892,91.9,0.7905805,1182,747.24,0.045756346,0.06025625,3.49 
893,91.55,0.781838556,1184,749.06,0.046475315,0.0609,3.67 
894,91.2,0.773096613,1186,750.88,0.047194284,0.06178125,3.83 
895,90.85,0.76435467,1188,752.7,0.047913252,0.0626625,3.98 
896,90.5,0.755612727,1190,754.52,0.048675328,0.06354375,4.12 
897,90.15,0.746870784,1192,756.34,0.049772906,0.064425,4.26 
898,89.8,0.738128841,1194,758.16,0.050870483,0.06530625,4.38 
899,89.45,0.729386898,1196,760,0.05196806,0.0661875,4.51 
